make,name,model URL,number for sale
audi,80,/used-cars/audi/80,1
audi,A1,/used-cars/audi/a1,229
audi,A1 Sportback,/used-cars/audi/a1-sportback,4
audi,A3,/used-cars/audi/a3,829
audi,A3 Saloon,/used-cars/audi/a3-saloon,23
audi,A3 Sportback,/used-cars/audi/a3-sportback,16
audi,A4,/used-cars/audi/a4,364
audi,A5,/used-cars/audi/a5,261
audi,A5 Sportback,/used-cars/audi/a5-sportback,10
audi,A6,/used-cars/audi/a6,574
audi,A7,/used-cars/audi/a7,80
audi,A8,/used-cars/audi/a8,23
audi,Allroad,/used-cars/audi/allroad,1
audi,e-tron,/used-cars/audi/e-tron,120
audi,e-tron GT quattro,/used-cars/audi/e-tron-gt-quattro,27
audi,Q2,/used-cars/audi/q2,192
audi,Q3,/used-cars/audi/q3,217
audi,Q4 e-tron,/used-cars/audi/q4-e-tron,115
audi,Q5,/used-cars/audi/q5,212
audi,Q6 E-TRON,/used-cars/audi/q6-e-tron,24
audi,Q7,/used-cars/audi/q7,170
audi,Q8,/used-cars/audi/q8,49
audi,Q8 e-tron,/used-cars/audi/q8-e-tron,7
audi,R8,/used-cars/audi/r8,2
audi,RS Q3,/used-cars/audi/rs-q3,1
audi,RS3,/used-cars/audi/rs3,2
audi,RS4,/used-cars/audi/rs4,2
audi,RS5,/used-cars/audi/rs5,1
audi,RS6,/used-cars/audi/rs6,4
audi,RSQ8,/used-cars/audi/rsq8,1
audi,S1,/used-cars/audi/s1,4
audi,S3,/used-cars/audi/s3,66
audi,S4,/used-cars/audi/s4,5
audi,S5,/used-cars/audi/s5,4
audi,S6,/used-cars/audi/s6,4
audi,S7,/used-cars/audi/s7,3
audi,S8,/used-cars/audi/s8,2
audi,SQ5,/used-cars/audi/sq5,9
audi,SQ7,/used-cars/audi/sq7,3
audi,TT,/used-cars/audi/tt,29
audi,TTS,/used-cars/audi/tts,2
bmw,1 Series,/used-cars/bmw/1-series,335
bmw,2 Series,/used-cars/bmw/2-series,203
bmw,2 Series Active Tourer,/used-cars/bmw/2-series-active-tourer,19
bmw,2 Series Gran Tourer,/used-cars/bmw/2-series-gran-tourer,27
bmw,3 Series,/used-cars/bmw/3-series,661
bmw,4 Series,/used-cars/bmw/4-series,228
bmw,5 Series,/used-cars/bmw/5-series,1095
bmw,6 Series,/used-cars/bmw/6-series,60
bmw,7 Series,/used-cars/bmw/7-series,93
bmw,8 Series,/used-cars/bmw/8-series,14
bmw,i3,/used-cars/bmw/i3,18
bmw,i4,/used-cars/bmw/i4,81
bmw,i5,/used-cars/bmw/i5,42
bmw,i7,/used-cars/bmw/i7,14
bmw,i8,/used-cars/bmw/i8,7
bmw,iX,/used-cars/bmw/ix,29
bmw,iX1,/used-cars/bmw/ix1,56
bmw,iX2,/used-cars/bmw/ix2,7
bmw,iX3,/used-cars/bmw/ix3,43
bmw,M2,/used-cars/bmw/m2,9
bmw,M235i,/used-cars/bmw/m235i,1
bmw,M240i,/used-cars/bmw/m240i,1
bmw,M3,/used-cars/bmw/m3,13
bmw,M4,/used-cars/bmw/m4,11
bmw,M5,/used-cars/bmw/m5,10
bmw,M6,/used-cars/bmw/m6,1
bmw,X1,/used-cars/bmw/x1,144
bmw,X2,/used-cars/bmw/x2,21
bmw,X3,/used-cars/bmw/x3,177
bmw,X4,/used-cars/bmw/x4,25
bmw,X5,/used-cars/bmw/x5,461
bmw,X6,/used-cars/bmw/x6,16
bmw,X7,/used-cars/bmw/x7,26
bmw,XM,/used-cars/bmw/xm,10
bmw,Z3,/used-cars/bmw/z3,3
bmw,Z4,/used-cars/bmw/z4,12
bmw,Z8,/used-cars/bmw/z8,1
byd,ATTO 3,/used-cars/byd/atto-3,57
byd,Dolphin,/used-cars/byd/dolphin,24
byd,Seal,/used-cars/byd/seal,38
byd,Seal U,/used-cars/byd/seal-u,30
byd,Sealion 7,/used-cars/byd/sealion-7,15
citroen,Ami,/used-cars/citroen/ami,18
citroen,Berlingo,/used-cars/citroen/berlingo,92
citroen,Berlingo Multispace,/used-cars/citroen/berlingo-multispace,3
citroen,C1,/used-cars/citroen/c1,2
citroen,C3,/used-cars/citroen/c3,69
citroen,C3 Aircross,/used-cars/citroen/c3-aircross,23
citroen,C4,/used-cars/citroen/c4,73
citroen,C4 Cactus,/used-cars/citroen/c4-cactus,22
citroen,C4 Picasso,/used-cars/citroen/c4-picasso,19
citroen,C4 SpaceTourer,/used-cars/citroen/c4-spacetourer,9
citroen,C4X,/used-cars/citroen/c4x,2
citroen,C5,/used-cars/citroen/c5,11
citroen,C5 Aircross,/used-cars/citroen/c5-aircross,121
citroen,C5X,/used-cars/citroen/c5x,17
citroen,C6,/used-cars/citroen/c6,2
citroen,DS,/used-cars/citroen/ds,1
citroen,DS3,/used-cars/citroen/ds3,9
citroen,DS4,/used-cars/citroen/ds4,6
citroen,DS5,/used-cars/citroen/ds5,1
citroen,e-Berlingo,/used-cars/citroen/e-berlingo,3
citroen,e-C3,/used-cars/citroen/e-c3,1
citroen,E-C4,/used-cars/citroen/e-c4,27
citroen,Grand C4 Picasso,/used-cars/citroen/grand-c4-picasso,79
citroen,Grand C4 SpaceTourer,/used-cars/citroen/grand-c4-spacetourer,7
citroen,SpaceTourer,/used-cars/citroen/spacetourer,4
cupra,Ateca,/used-cars/cupra/ateca,19
cupra,Born,/used-cars/cupra/born,53
cupra,Formentor,/used-cars/cupra/formentor,179
cupra,Leon,/used-cars/cupra/leon,93
cupra,Leon Sportstourer,/used-cars/cupra/leon-sportstourer,12
cupra,Tavascan,/used-cars/cupra/tavascan,29
cupra,Terramar,/used-cars/cupra/terramar,39
dacia,Duster,/used-cars/dacia/duster,419
dacia,Jogger,/used-cars/dacia/jogger,158
dacia,Logan,/used-cars/dacia/logan,13
dacia,Sandero,/used-cars/dacia/sandero,184
dacia,Sandero Stepway,/used-cars/dacia/sandero-stepway,251
dacia,Spring,/used-cars/dacia/spring,33
fiat,124 Spider,/used-cars/fiat/124-spider,1
fiat,500,/used-cars/fiat/500,182
fiat,500 C,/used-cars/fiat/500-c,1
fiat,500e,/used-cars/fiat/500e,58
fiat,500l,/used-cars/fiat/500l,6
fiat,500X,/used-cars/fiat/500x,30
fiat,600,/used-cars/fiat/600,50
fiat,Coupe,/used-cars/fiat/coupe,2
fiat,Croma,/used-cars/fiat/croma,1
fiat,Doblo,/used-cars/fiat/doblo,28
fiat,Ducato Passenger,/used-cars/fiat/ducato-passenger,4
fiat,Fiorino,/used-cars/fiat/fiorino,2
fiat,Panda,/used-cars/fiat/panda,54
fiat,Punto,/used-cars/fiat/punto,7
fiat,Scudo,/used-cars/fiat/scudo,21
fiat,Tipo,/used-cars/fiat/tipo,34
ford,B-Max,/used-cars/ford/b-max,9
ford,C-Max,/used-cars/ford/c-max,39
ford,Capri,/used-cars/ford/capri,17
ford,Courier,/used-cars/ford/courier,3
ford,Ecosport,/used-cars/ford/ecosport,50
ford,Edge,/used-cars/ford/edge,1
ford,Escort,/used-cars/ford/escort,1
ford,Explorer,/used-cars/ford/explorer,44
ford,F150,/used-cars/ford/f150,1
ford,Fiesta,/used-cars/ford/fiesta,347
ford,Focus,/used-cars/ford/focus,725
ford,Galaxy,/used-cars/ford/galaxy,55
ford,Grand C-Max,/used-cars/ford/grand-c-max,12
ford,Ka,/used-cars/ford/ka,5
ford,Ka +,/used-cars/ford/ka--plus,7
ford,Kuga,/used-cars/ford/kuga,548
ford,Maverick,/used-cars/ford/maverick,1
ford,Mondeo,/used-cars/ford/mondeo,146
ford,Mustang,/used-cars/ford/mustang,3
ford,Mustang Mach-E,/used-cars/ford/mustang-mach-e,16
ford,Puma,/used-cars/ford/puma,391
ford,Ranger,/used-cars/ford/ranger,113
ford,S-Max,/used-cars/ford/s-max,59
ford,Sierra,/used-cars/ford/sierra,1
ford,Tourneo,/used-cars/ford/tourneo,6
ford,Tourneo Connect,/used-cars/ford/tourneo-connect,15
ford,Tourneo Custom,/used-cars/ford/tourneo-custom,11
ford,Transit Connect,/used-cars/ford/transit-connect,29
ford,Transit Courier,/used-cars/ford/transit-courier,15
ford,Transit Custom Kombi,/used-cars/ford/transit-custom-kombi,5
ford,Transit Kombi,/used-cars/ford/transit-kombi,1
ford,Transit Tourneo,/used-cars/ford/transit-tourneo,7
honda,Accord,/used-cars/honda/accord,9
honda,Civic,/used-cars/honda/civic,104
honda,CR-V,/used-cars/honda/cr-v,65
honda,CR-Z,/used-cars/honda/cr-z,3
honda,e,/used-cars/honda/e,5
honda,Fit,/used-cars/honda/fit,223
honda,Freed,/used-cars/honda/freed,20
honda,Grace,/used-cars/honda/grace,40
honda,HR-V,/used-cars/honda/hr-v,44
honda,Insight,/used-cars/honda/insight,20
honda,Jade,/used-cars/honda/jade,8
honda,Jazz,/used-cars/honda/jazz,69
honda,Legend,/used-cars/honda/legend,1
honda,N-WGN,/used-cars/honda/n-wgn,2
honda,Odyssey,/used-cars/honda/odyssey,2
honda,S2000,/used-cars/honda/s2000,2
honda,Shuttle,/used-cars/honda/shuttle,52
honda,Stepwagon,/used-cars/honda/stepwagon,3
honda,Stream,/used-cars/honda/stream,2
honda,Vezel,/used-cars/honda/vezel,75
honda,ZR-V,/used-cars/honda/zr-v,8
hyundai,Bayon,/used-cars/hyundai/bayon,80
hyundai,i10,/used-cars/hyundai/i10,160
hyundai,i20,/used-cars/hyundai/i20,237
hyundai,i30,/used-cars/hyundai/i30,218
hyundai,i40,/used-cars/hyundai/i40,68
hyundai,Inster,/used-cars/hyundai/inster,28
hyundai,Ioniq,/used-cars/hyundai/ioniq,39
hyundai,Ioniq 5,/used-cars/hyundai/ioniq-5,131
hyundai,Ioniq 6,/used-cars/hyundai/ioniq-6,57
hyundai,ix20,/used-cars/hyundai/ix20,31
hyundai,ix35,/used-cars/hyundai/ix35,51
hyundai,Kona,/used-cars/hyundai/kona,435
hyundai,Santa Fe,/used-cars/hyundai/santa-fe,208
hyundai,Sonata,/used-cars/hyundai/sonata,1
hyundai,Tucson,/used-cars/hyundai/tucson,1496
hyundai,Veloster,/used-cars/hyundai/veloster,3
jaguar,E-Pace,/used-cars/jaguar/e-pace,28
jaguar,E-Type,/used-cars/jaguar/e-type,2
jaguar,F-Pace,/used-cars/jaguar/f-pace,49
jaguar,F-Type,/used-cars/jaguar/f-type,1
jaguar,I-Pace,/used-cars/jaguar/i-pace,46
jaguar,Mark II,/used-cars/jaguar/mark-ii,1
jaguar,S-Type,/used-cars/jaguar/s-type,2
jaguar,X-Type,/used-cars/jaguar/x-type,2
